Order_Date,Customer_Name,Customer_Type,City,State,Product_Name,Category,Quantity,Unit_Price,Total_Amount,source_month
14-04-2023,Patil General Store,Kirana,Kolhapur,Maharashtra,NexaGold Wheat Atta 10kg,Atta,2,620.00,"1,240.00",Apr_2023
07-04-2023,D-Mart Kothrud,Supermarket,Kolhapur,Maharashtra,NexaGold Garam Masala 100g,Spices,34,35.00,"1,190.00",Apr_2023
14-04-2023,Chavan Traders,Kirana,Surat,Gujarat,NexaGold Groundnut Oil 1L,Edible Oil,32,180.00,"5,760.00",Apr_2023
19-04-2023,Patel Kirana,Kirana,Solapur,Maharashtra,NexaGold Multigrain Atta 5kg,Atta,14,350.00,"4,900.00",Apr_2023
12-04-2023,Khare Kirana,Kirana,Aurangabad,Maharashtra,NexaClean Floor Cleaner 1L,Household,16,90.00,"1,440.00",Apr_2023
26-04-2023,Patil General Store,Kirana,Surat,Gujarat,NexaClean Floor Cleaner 1L,Household,49,90.00,"4,410.00",Apr_2023
21-04-2023,Modi Kirana,Kirana,Rajkot,Gujarat,NexaGold Sunflower Oil 1L,Edible Oil,27,120.00,"3,240.00",Apr_2023
11-04-2023,Reliance Fresh Rajkot,Supermarket,Aurangabad,Maharashtra,NexaClean Floor Cleaner 1L,Household,9,90.00,810.00,Apr_2023
17-04-2023,Bhat Store,Kirana,Vadodara,Gujarat,NexaCare Soap 100g,Personal Care,16,50.00,800.00,Apr_2023
23-04-2023,Desai Provisions,Kirana,Nagpur,Maharashtra,NexaGold Toor Dal 1kg,Dal,23,130.00,"2,990.00",Apr_2023
23-04-2023,Kulkarni Store,Kirana,Kolhapur,Maharashtra,NexaGold Groundnut Oil 1L,Edible Oil,32,180.00,"5,760.00",Apr_2023
04-04-2023,Pandey Store,Kirana,Rajkot,Gujarat,NexaGold Toor Dal 1kg,Dal,6,130.00,780.00,Apr_2023
26-04-2023,Modi Kirana,Kirana,Aurangabad,Maharashtra,NexaClean Dishwash 500ml,Household,32,85.00,"2,720.00",Apr_2023
18-04-2023,Modi Kirana,Kirana,Rajkot,Gujarat,NexaGold Groundnut Oil 1L,Edible Oil,43,180.00,"7,740.00",Apr_2023
20-04-2023,Bhat Store,Kirana,Kolhapur,Maharashtra,NexaFresh Mango Juice 1L,Beverages,47,110.00,"5,170.00",Apr_2023
04-04-2023,Shah General Store,Kirana,Vadodara,Gujarat,NexaGold Wheat Atta 10kg,Atta,27,620.00,"16,740.00",Apr_2023
18-04-2023,More Supermarket Viman Nagar,Supermarket,Surat,Gujarat,NexaGold Wheat Atta 5kg,Atta,36,400.00,"14,400.00",Apr_2023
26-04-2023,Star Bazaar Pune,Supermarket,Ahmedabad,Gujarat,NexaGold Toor Dal 1kg,Dal,44,130.00,"5,720.00",Apr_2023
13-04-2023,Sharma Kirana Store,Kirana,Solapur,Maharashtra,NexaCare Shampoo 200ml,Personal Care,1,40.00,40.00,Apr_2023
22-04-2023,D-Mart Ahmedabad SG Highway,Supermarket,Rajkot,Gujarat,NexaFresh Mixed Fruit 1L,Beverages,44,192.00,"8,448.00",Apr_2023
04-04-2023,Patel Kirana,Kirana,Surat,Gujarat,NexaCare Shampoo 200ml,Personal Care,10,40.00,400.00,Apr_2023
25-04-2023,Joshi Traders,Kirana,Kolhapur,Maharashtra,NexaCrunch Chips 100g,Snacks,10,20.00,200.00,Apr_2023
13-04-2023,Khare Kirana,Kirana,Kolhapur,Maharashtra,NexaCare Shampoo 200ml,Personal Care,30,40.00,"1,200.00",Apr_2023
12-04-2023,Modi Kirana,Kirana,Pune,Maharashtra,NexaGold Toor Dal 1kg,Dal,47,130.00,"6,110.00",Apr_2023
14-04-2023,Pawar General Store,Kirana,Nagpur,Maharashtra,NexaGold Multigrain Atta 5kg,Atta,46,350.00,"16,100.00",Apr_2023
13-04-2023,Nair Kirana,Kirana,Pune,Maharashtra,NexaClean Dishwash 500ml,Household,10,85.00,850.00,Apr_2023
26-04-2023,Patil General Store,Kirana,Aurangabad,Maharashtra,NexaCrunch Mixture 200g,Snacks,33,80.00,"2,640.00",Apr_2023
22-04-2023,Mishra Provisions,Kirana,Kolhapur,Maharashtra,NexaGold Chana Dal 1kg,Dal,36,150.00,"5,400.00",Apr_2023
27-04-2023,Nair Kirana,Kirana,Vadodara,Gujarat,NexaFresh Mango Juice 1L,Beverages,16,110.00,"1,760.00",Apr_2023
22-04-2023,Gupta Store,Kirana,Nashik,Maharashtra,NexaGold Multigrain Atta 5kg,Atta,32,350.00,"11,200.00",Apr_2023
09-04-2023,Chavan Traders,Kirana,Kolhapur,Maharashtra,NexaGold Sunflower Oil 5L,Edible Oil,2,280.00,560.00,Apr_2023
14-04-2023,Reliance Fresh Wakad,Supermarket,Rajkot,Gujarat,NexaGold Moong Dal 1kg,Dal,8,130.00,"1,040.00",Apr_2023
02-04-2023,Desai Provisions,Kirana,Vadodara,Gujarat,NexaGold Red Chilli Powder 200g,Spices,12,60.00,720.00,Apr_2023
21-04-2023,D-Mart Kothrud,Supermarket,Rajkot,Gujarat,NexaGold Turmeric Powder 200g,Spices,34,40.00,"1,360.00",Apr_2023
03-04-2023,D-Mart Hinjewadi,Supermarket,Nashik,Maharashtra,NexaCrunch Namkeen 150g,Snacks,14,35.00,490.00,Apr_2023
25-04-2023,Sharma Kirana Store,Kirana,Aurangabad,Maharashtra,NexaFresh Mixed Fruit 1L,Beverages,24,192.00,"4,608.00",Apr_2023
01-04-2023,Shinde Traders,Kirana,Vadodara,Gujarat,NexaClean Floor Cleaner 1L,Household,31,90.00,"2,790.00",Apr_2023
02-04-2023,D-Mart Kothrud,Supermarket,Solapur,Maharashtra,NexaCare Shampoo 200ml,Personal Care,10,40.00,400.00,Apr_2023
25-04-2023,Rajput Provisions,Kirana,Pune,Maharashtra,NexaGold Chana Dal 1kg,Dal,22,150.00,"3,300.00",Apr_2023
15-04-2023,Thakur Traders,Kirana,Aurangabad,Maharashtra,NexaGold Toor Dal 1kg,Dal,38,130.00,"4,940.00",Apr_2023
22-04-2023,Pawar General Store,Kirana,Rajkot,Gujarat,NexaGold Garam Masala 100g,Spices,33,35.00,"1,155.00",Apr_2023
28-04-2023,Yadav General Store,Kirana,Ahmedabad,Gujarat,NexaCrunch Chips 100g,Snacks,14,20.00,280.00,Apr_2023
09-04-2023,Bhat Store,Kirana,Ahmedabad,Gujarat,NexaGold Toor Dal 1kg,Dal,38,130.00,"4,940.00",Apr_2023
15-04-2023,Yadav General Store,Kirana,Ahmedabad,Gujarat,NexaClean Dishwash 500ml,Household,42,85.00,"3,570.00",Apr_2023
08-04-2023,D-Mart Aundh,Supermarket,Nagpur,Maharashtra,NexaFresh Mixed Fruit 1L,Beverages,17,192.00,"3,264.00",Apr_2023
18-04-2023,Parmar General Store,Kirana,Nashik,Maharashtra,NexaCrunch Chips 100g,Snacks,39,20.00,780.00,Apr_2023
19-04-2023,Mehta Kirana,Kirana,Nashik,Maharashtra,NexaCrunch Namkeen 150g,Snacks,41,35.00,"1,435.00",Apr_2023
22-04-2023,More Supermarket Viman Nagar,Supermarket,Aurangabad,Maharashtra,NexaGold Groundnut Oil 1L,Edible Oil,25,180.00,"4,500.00",Apr_2023
28-04-2023,Modi Kirana,Kirana,Pune,Maharashtra,NexaGold Red Chilli Powder 200g,Spices,4,60.00,240.00,Apr_2023
09-04-2023,D-Mart Hinjewadi,Supermarket,Nagpur,Maharashtra,NexaGold Moong Dal 1kg,Dal,4,130.00,520.00,Apr_2023
20-04-2023,Kulkarni Store,Kirana,Rajkot,Gujarat,NexaGold Wheat Atta 5kg,Atta,10,400.00,"4,000.00",Apr_2023
14-04-2023,Reliance Fresh Rajkot,Supermarket,Nagpur,Maharashtra,NexaClean Dishwash 500ml,Household,13,85.00,"1,105.00",Apr_2023
26-04-2023,Shah General Store,Kirana,Aurangabad,Maharashtra,NexaFresh Mixed Fruit 1L,Beverages,20,192.00,"3,840.00",Apr_2023
19-04-2023,Apte Traders,Kirana,Surat,Gujarat,NexaCare Shampoo 200ml,Personal Care,34,40.00,"1,360.00",Apr_2023
07-04-2023,Mehta Kirana,Kirana,Ahmedabad,Gujarat,NexaCare Shampoo 200ml,Personal Care,27,40.00,"1,080.00",Apr_2023
23-04-2023,Gupta Store,Kirana,Nashik,Maharashtra,NexaGold Chana Dal 1kg,Dal,3,150.00,450.00,Apr_2023
05-04-2023,Patel Kirana,Kirana,Ahmedabad,Gujarat,NexaCare Soap 100g,Personal Care,18,50.00,900.00,Apr_2023
03-04-2023,Patil General Store,Kirana,Solapur,Maharashtra,NexaGold Multigrain Atta 5kg,Atta,9,350.00,"3,150.00",Apr_2023
16-04-2023,Deshmukh Provisions,Kirana,Surat,Gujarat,NexaGold Toor Dal 1kg,Dal,8,130.00,"1,040.00",Apr_2023
19-04-2023,Modi Kirana,Kirana,Vadodara,Gujarat,NexaGold Garam Masala 100g,Spices,34,35.00,"1,190.00",Apr_2023
13-04-2023,Reliance Fresh Baner,Supermarket,Nagpur,Maharashtra,NexaGold Wheat Atta 10kg,Atta,16,620.00,"9,920.00",Apr_2023
06-04-2023,Sharma Kirana Store,Kirana,Pune,Maharashtra,NexaFresh Mango Juice 1L,Beverages,17,110.00,"1,870.00",Apr_2023
18-04-2023,More Supermarket Viman Nagar,Supermarket,Solapur,Maharashtra,NexaGold Red Chilli Powder 200g,Spices,33,60.00,"1,980.00",Apr_2023
23-04-2023,Apte Traders,Kirana,Surat,Gujarat,NexaGold Turmeric Powder 200g,Spices,8,40.00,320.00,Apr_2023
08-04-2023,Rajput Provisions,Kirana,Aurangabad,Maharashtra,NexaGold Red Chilli Powder 200g,Spices,34,60.00,"2,040.00",Apr_2023
18-04-2023,Kulkarni Store,Kirana,Nagpur,Maharashtra,NexaClean Floor Cleaner 1L,Household,44,90.00,"3,960.00",Apr_2023
10-04-2023,Patil General Store,Kirana,Solapur,Maharashtra,NexaGold Sunflower Oil 5L,Edible Oil,24,280.00,"6,720.00",Apr_2023
12-04-2023,D-Mart Ahmedabad SG Highway,Supermarket,Ahmedabad,Gujarat,NexaClean Dishwash 500ml,Household,19,85.00,"1,615.00",Apr_2023
27-04-2023,Pandey Store,Kirana,Pune,Maharashtra,NexaClean Floor Cleaner 1L,Household,49,90.00,"4,410.00",Apr_2023
01-04-2023,D-Mart Hinjewadi,Supermarket,Surat,Gujarat,NexaFresh Mango Juice 1L,Beverages,5,110.00,550.00,Apr_2023
06-04-2023,D-Mart Ahmedabad SG Highway,Supermarket,Aurangabad,Maharashtra,NexaGold Garam Masala 100g,Spices,1,35.00,35.00,Apr_2023
07-04-2023,Shah General Store,Kirana,Surat,Gujarat,NexaFresh Mixed Fruit 1L,Beverages,13,192.00,"2,496.00",Apr_2023
19-04-2023,Joshi Traders,Kirana,Surat,Gujarat,NexaClean Dishwash 500ml,Household,45,85.00,"3,825.00",Apr_2023
25-04-2023,Patil General Store,Kirana,Solapur,Maharashtra,NexaGold Sunflower Oil 5L,Edible Oil,50,280.00,"14,000.00",Apr_2023
14-04-2023,Parmar General Store,Kirana,Ahmedabad,Gujarat,NexaGold Multigrain Atta 5kg,Atta,23,350.00,"8,050.00",Apr_2023
19-04-2023,D-Mart Ahmedabad SG Highway,Supermarket,Ahmedabad,Gujarat,NexaGold Sunflower Oil 5L,Edible Oil,18,280.00,"5,040.00",Apr_2023
15-04-2023,D-Mart Aundh,Supermarket,Pune,Maharashtra,NexaGold Moong Dal 1kg,Dal,33,130.00,"4,290.00",Apr_2023
08-04-2023,Reliance Fresh Baner,Supermarket,Pune,Maharashtra,NexaClean Floor Cleaner 1L,Household,3,90.00,270.00,Apr_2023
28-04-2023,Bhat Store,Kirana,Vadodara,Gujarat,NexaGold Chana Dal 1kg,Dal,16,150.00,"2,400.00",Apr_2023
27-04-2023,Star Bazaar Pune,Supermarket,Aurangabad,Maharashtra,NexaCare Shampoo 200ml,Personal Care,32,40.00,"1,280.00",Apr_2023
18-04-2023,Reliance Fresh Wakad,Supermarket,Vadodara,Gujarat,NexaGold Chana Dal 1kg,Dal,36,150.00,"5,400.00",Apr_2023
01-04-2023,Deshmukh Provisions,Kirana,Surat,Gujarat,NexaCrunch Chips 100g,Snacks,29,20.00,580.00,Apr_2023
05-04-2023,Jadhav Store,Kirana,Nagpur,Maharashtra,NexaGold Moong Dal 1kg,Dal,29,130.00,"3,770.00",Apr_2023
04-04-2023,Sharma Kirana Store,Kirana,Surat,Gujarat,NexaCrunch Chips 100g,Snacks,48,20.00,960.00,Apr_2023
19-04-2023,Reliance Fresh Rajkot,Supermarket,Aurangabad,Maharashtra,NexaCare Shampoo 200ml,Personal Care,48,40.00,"1,920.00",Apr_2023
18-04-2023,Deshpande Store,Kirana,Solapur,Maharashtra,NexaGold Wheat Atta 10kg,Atta,29,620.00,"17,980.00",Apr_2023
26-04-2023,Khare Kirana,Kirana,Kolhapur,Maharashtra,NexaCare Soap 100g,Personal Care,38,50.00,"1,900.00",Apr_2023
14-04-2023,Khare Kirana,Kirana,Nashik,Maharashtra,NexaClean Dishwash 500ml,Household,45,85.00,"3,825.00",Apr_2023
26-04-2023,Mishra Provisions,Kirana,Nashik,Maharashtra,NexaGold Chana Dal 1kg,Dal,28,150.00,"4,200.00",Apr_2023
05-04-2023,Deshmukh Provisions,Kirana,Nagpur,Maharashtra,NexaGold Moong Dal 1kg,Dal,8,130.00,"1,040.00",Apr_2023
26-04-2023,Rajput Provisions,Kirana,Nagpur,Maharashtra,NexaGold Toor Dal 1kg,Dal,1,130.00,130.00,Apr_2023
12-04-2023,Shinde Traders,Kirana,Pune,Maharashtra,NexaCare Soap 100g,Personal Care,1,50.00,50.00,Apr_2023
10-04-2023,Apte Traders,Kirana,Solapur,Maharashtra,NexaGold Sunflower Oil 1L,Edible Oil,49,120.00,"5,880.00",Apr_2023
23-04-2023,Rajput Provisions,Kirana,Nagpur,Maharashtra,NexaFresh Mango Juice 1L,Beverages,2,110.00,220.00,Apr_2023
02-04-2023,Kulkarni Store,Kirana,Kolhapur,Maharashtra,NexaClean Floor Cleaner 1L,Household,35,90.00,"3,150.00",Apr_2023
24-04-2023,Thakur Traders,Kirana,Rajkot,Gujarat,NexaFresh Mango Juice 1L,Beverages,7,110.00,770.00,Apr_2023
17-04-2023,Patel Kirana,Kirana,Pune,Maharashtra,NexaGold Wheat Atta 5kg,Atta,37,400.00,"14,800.00",Apr_2023
27-04-2023,Sharma Kirana Store,Kirana,Nagpur,Maharashtra,NexaGold Wheat Atta 5kg,Atta,30,400.00,"12,000.00",Apr_2023
18-04-2023,Shinde Traders,Kirana,Nashik,Maharashtra,NexaCrunch Chips 100g,Snacks,10,20.00,200.00,Apr_2023
26-04-2023,Apte Traders,Kirana,Nagpur,Maharashtra,NexaFresh Mango Juice 1L,Beverages,41,110.00,"4,510.00",Apr_2023
06-04-2023,More Supermarket Viman Nagar,Supermarket,Kolhapur,Maharashtra,NexaCare Soap 100g,Personal Care,26,50.00,"1,300.00",Apr_2023
07-04-2023,Gupta Store,Kirana,Pune,Maharashtra,NexaCrunch Mixture 200g,Snacks,31,80.00,"2,480.00",Apr_2023
17-04-2023,Modi Kirana,Kirana,Nagpur,Maharashtra,NexaGold Turmeric Powder 200g,Spices,48,40.00,"1,920.00",Apr_2023
18-04-2023,Thakur Traders,Kirana,Aurangabad,Maharashtra,NexaGold Wheat Atta 10kg,Atta,19,620.00,"11,780.00",Apr_2023
05-04-2023,Deshpande Store,Kirana,Nagpur,Maharashtra,NexaClean Dishwash 500ml,Household,2,85.00,170.00,Apr_2023
18-04-2023,Gupta Store,Kirana,Nagpur,Maharashtra,NexaGold Moong Dal 1kg,Dal,39,130.00,"5,070.00",Apr_2023
01-04-2023,Bhat Store,Kirana,Pune,Maharashtra,NexaCare Soap 100g,Personal Care,47,50.00,"2,350.00",Apr_2023
22-04-2023,Gokhale Provisions,Kirana,Aurangabad,Maharashtra,NexaClean Floor Cleaner 1L,Household,32,90.00,"2,880.00",Apr_2023
21-04-2023,Gupta Store,Kirana,Aurangabad,Maharashtra,NexaGold Moong Dal 1kg,Dal,2,130.00,260.00,Apr_2023
10-04-2023,D-Mart Kothrud,Supermarket,Pune,Maharashtra,NexaCrunch Mixture 200g,Snacks,16,80.00,"1,280.00",Apr_2023
21-04-2023,Pandey Store,Kirana,Aurangabad,Maharashtra,NexaGold Sunflower Oil 5L,Edible Oil,2,280.00,560.00,Apr_2023
28-04-2023,Shinde Traders,Kirana,Nagpur,Maharashtra,NexaGold Moong Dal 1kg,Dal,22,130.00,"2,860.00",Apr_2023
05-04-2023,Deshmukh Provisions,Kirana,Surat,Gujarat,NexaGold Red Chilli Powder 200g,Spices,12,60.00,720.00,Apr_2023
02-04-2023,Desai Provisions,Kirana,Surat,Gujarat,NexaCare Shampoo 200ml,Personal Care,24,40.00,960.00,Apr_2023
14-04-2023,Star Bazaar Pune,Supermarket,Surat,Gujarat,NexaGold Moong Dal 1kg,Dal,4,130.00,520.00,Apr_2023
25-04-2023,Patel Kirana,Kirana,Aurangabad,Maharashtra,NexaGold Turmeric Powder 200g,Spices,28,40.00,"1,120.00",Apr_2023
08-04-2023,Parmar General Store,Kirana,Rajkot,Gujarat,NexaGold Multigrain Atta 5kg,Atta,17,350.00,"5,950.00",Apr_2023
20-04-2023,D-Mart Ahmedabad SG Highway,Supermarket,Pune,Maharashtra,NexaGold Sunflower Oil 5L,Edible Oil,28,280.00,"7,840.00",Apr_2023
02-04-2023,Chavan Traders,Kirana,Pune,Maharashtra,NexaGold Wheat Atta 5kg,Atta,36,400.00,"14,400.00",Apr_2023
17-04-2023,D-Mart Hinjewadi,Supermarket,Solapur,Maharashtra,NexaCrunch Namkeen 150g,Snacks,7,35.00,245.00,Apr_2023
11-04-2023,D-Mart Hinjewadi,Supermarket,Rajkot,Gujarat,NexaGold Wheat Atta 10kg,Atta,23,620.00,"14,260.00",Apr_2023
07-04-2023,Bhat Store,Kirana,Surat,Gujarat,NexaGold Red Chilli Powder 200g,Spices,16,60.00,960.00,Apr_2023
22-04-2023,Shah General Store,Kirana,Nashik,Maharashtra,NexaCare Soap 100g,Personal Care,11,50.00,550.00,Apr_2023
02-04-2023,Shinde Traders,Kirana,Surat,Gujarat,NexaGold Sunflower Oil 1L,Edible Oil,48,120.00,"5,760.00",Apr_2023
27-04-2023,D-Mart Ahmedabad SG Highway,Supermarket,Surat,Gujarat,NexaCrunch Mixture 200g,Snacks,23,80.00,"1,840.00",Apr_2023
17-04-2023,Bhosale Provisions,Kirana,Nagpur,Maharashtra,NexaCare Shampoo 200ml,Personal Care,22,40.00,880.00,Apr_2023
18-04-2023,Kulkarni Store,Kirana,Rajkot,Gujarat,NexaGold Toor Dal 1kg,Dal,23,130.00,"2,990.00",Apr_2023
09-04-2023,Deshpande Store,Kirana,Rajkot,Gujarat,NexaGold Sunflower Oil 1L,Edible Oil,29,120.00,"3,480.00",Apr_2023
13-04-2023,Kulkarni Store,Kirana,Surat,Gujarat,NexaGold Garam Masala 100g,Spices,26,35.00,910.00,Apr_2023
08-04-2023,Patil General Store,Kirana,Vadodara,Gujarat,NexaGold Wheat Atta 10kg,Atta,41,620.00,"25,420.00",Apr_2023
08-04-2023,Apte Traders,Kirana,Aurangabad,Maharashtra,NexaGold Multigrain Atta 5kg,Atta,31,350.00,"10,850.00",Apr_2023
16-04-2023,Deshpande Store,Kirana,Aurangabad,Maharashtra,NexaCrunch Namkeen 150g,Snacks,11,35.00,385.00,Apr_2023
02-04-2023,Modi Kirana,Kirana,Surat,Gujarat,NexaGold Groundnut Oil 1L,Edible Oil,25,180.00,"4,500.00",Apr_2023
17-04-2023,Pandey Store,Kirana,Kolhapur,Maharashtra,NexaGold Red Chilli Powder 200g,Spices,7,60.00,420.00,Apr_2023
13-04-2023,Patil General Store,Kirana,Nashik,Maharashtra,NexaGold Chana Dal 1kg,Dal,11,150.00,"1,650.00",Apr_2023
27-04-2023,Reliance Fresh Wakad,Supermarket,Vadodara,Gujarat,NexaClean Dishwash 500ml,Household,34,85.00,"2,890.00",Apr_2023
10-04-2023,Chavan Traders,Kirana,Ahmedabad,Gujarat,NexaGold Moong Dal 1kg,Dal,38,130.00,"4,940.00",Apr_2023
07-04-2023,Rajput Provisions,Kirana,Surat,Gujarat,NexaClean Dishwash 500ml,Household,26,85.00,"2,210.00",Apr_2023
01-04-2023,D-Mart Aundh,Supermarket,Nashik,Maharashtra,NexaCare Shampoo 200ml,Personal Care,15,40.00,600.00,Apr_2023
21-04-2023,Gokhale Provisions,Kirana,Rajkot,Gujarat,NexaGold Multigrain Atta 5kg,Atta,46,350.00,"16,100.00",Apr_2023
11-04-2023,Gokhale Provisions,Kirana,Vadodara,Gujarat,NexaFresh Mango Juice 1L,Beverages,11,110.00,"1,210.00",Apr_2023
18-04-2023,D-Mart Aundh,Supermarket,Nagpur,Maharashtra,NexaCrunch Chips 100g,Snacks,2,20.00,40.00,Apr_2023
09-04-2023,Big Bazaar Vadodara,Supermarket,Surat,Gujarat,NexaCrunch Namkeen 150g,Snacks,26,35.00,910.00,Apr_2023
07-04-2023,Sawant Traders,Kirana,Nagpur,Maharashtra,NexaGold Chana Dal 1kg,Dal,12,150.00,"1,800.00",Apr_2023
09-04-2023,D-Mart Kothrud,Supermarket,Nashik,Maharashtra,NexaCare Soap 100g,Personal Care,3,50.00,150.00,Apr_2023
25-04-2023,Khare Kirana,Kirana,Ahmedabad,Gujarat,NexaGold Chana Dal 1kg,Dal,8,150.00,"1,200.00",Apr_2023
24-04-2023,Patil General Store,Kirana,Nagpur,Maharashtra,NexaCrunch Chips 100g,Snacks,8,20.00,160.00,Apr_2023
13-04-2023,Pawar General Store,Kirana,Kolhapur,Maharashtra,NexaGold Toor Dal 1kg,Dal,18,130.00,"2,340.00",Apr_2023
13-04-2023,D-Mart Ahmedabad SG Highway,Supermarket,Pune,Maharashtra,NexaGold Wheat Atta 10kg,Atta,30,620.00,"18,600.00",Apr_2023
26-04-2023,Reliance Fresh Baner,Supermarket,Aurangabad,Maharashtra,NexaGold Turmeric Powder 200g,Spices,2,40.00,80.00,Apr_2023
16-04-2023,Gaikwad Store,Kirana,Vadodara,Gujarat,NexaGold Groundnut Oil 1L,Edible Oil,11,180.00,"1,980.00",Apr_2023
05-04-2023,Parmar General Store,Kirana,Nashik,Maharashtra,NexaGold Turmeric Powder 200g,Spices,7,40.00,280.00,Apr_2023
18-04-2023,Rajput Provisions,Kirana,Kolhapur,Maharashtra,NexaClean Floor Cleaner 1L,Household,50,90.00,"4,500.00",Apr_2023
22-04-2023,Mishra Provisions,Kirana,Rajkot,Gujarat,NexaCare Shampoo 200ml,Personal Care,1,40.00,40.00,Apr_2023
24-04-2023,Pawar General Store,Kirana,Surat,Gujarat,NexaCrunch Chips 100g,Snacks,36,20.00,720.00,Apr_2023
19-04-2023,Reliance Fresh Baner,Supermarket,Ahmedabad,Gujarat,NexaCare Shampoo 200ml,Personal Care,42,40.00,"1,680.00",Apr_2023
24-04-2023,Mishra Provisions,Kirana,Surat,Gujarat,NexaGold Multigrain Atta 5kg,Atta,49,350.00,"17,150.00",Apr_2023
18-04-2023,Joshi Traders,Kirana,Ahmedabad,Gujarat,NexaGold Garam Masala 100g,Spices,40,35.00,"1,400.00",Apr_2023
21-04-2023,Reliance Fresh Baner,Supermarket,Vadodara,Gujarat,NexaGold Sunflower Oil 1L,Edible Oil,4,120.00,480.00,Apr_2023
18-04-2023,Nair Kirana,Kirana,Solapur,Maharashtra,NexaGold Toor Dal 1kg,Dal,15,130.00,"1,950.00",Apr_2023
01-04-2023,Reliance Fresh Rajkot,Supermarket,Surat,Gujarat,NexaGold Toor Dal 1kg,Dal,34,130.00,"4,420.00",Apr_2023
23-04-2023,D-Mart Aundh,Supermarket,Ahmedabad,Gujarat,NexaGold Groundnut Oil 1L,Edible Oil,23,180.00,"4,140.00",Apr_2023
23-04-2023,Thakur Traders,Kirana,Ahmedabad,Gujarat,NexaCare Soap 100g,Personal Care,46,50.00,"2,300.00",Apr_2023
28-04-2023,More Supermarket Viman Nagar,Supermarket,Vadodara,Gujarat,NexaClean Dishwash 500ml,Household,15,85.00,"1,275.00",Apr_2023
19-04-2023,Chavan Traders,Kirana,Solapur,Maharashtra,NexaGold Sunflower Oil 1L,Edible Oil,24,120.00,"2,880.00",Apr_2023
01-04-2023,Bhat Store,Kirana,Ahmedabad,Gujarat,NexaGold Garam Masala 100g,Spices,14,35.00,490.00,Apr_2023
13-04-2023,Mehta Kirana,Kirana,Nashik,Maharashtra,NexaGold Moong Dal 1kg,Dal,27,130.00,"3,510.00",Apr_2023
15-04-2023,Star Bazaar Pune,Supermarket,Kolhapur,Maharashtra,NexaGold Moong Dal 1kg,Dal,4,130.00,520.00,Apr_2023
22-04-2023,Kulkarni Store,Kirana,Solapur,Maharashtra,NexaCare Shampoo 200ml,Personal Care,28,40.00,"1,120.00",Apr_2023
06-04-2023,D-Mart Aundh,Supermarket,Pune,Maharashtra,NexaCrunch Mixture 200g,Snacks,35,80.00,"2,800.00",Apr_2023
27-04-2023,Kulkarni Store,Kirana,Solapur,Maharashtra,NexaGold Groundnut Oil 1L,Edible Oil,7,180.00,"1,260.00",Apr_2023
07-04-2023,Nair Kirana,Kirana,Ahmedabad,Gujarat,NexaCrunch Namkeen 150g,Snacks,2,35.00,70.00,Apr_2023
12-04-2023,Mehta Kirana,Kirana,Aurangabad,Maharashtra,NexaGold Moong Dal 1kg,Dal,37,130.00,"4,810.00",Apr_2023
02-04-2023,Desai Provisions,Kirana,Solapur,Maharashtra,NexaClean Floor Cleaner 1L,Household,15,90.00,"1,350.00",Apr_2023
18-04-2023,Deshmukh Provisions,Kirana,Surat,Gujarat,NexaCare Soap 100g,Personal Care,46,50.00,"2,300.00",Apr_2023
